sentence1,sentence2,label,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,gpt4_icl_evaluation
"Only a week after it had no comment on upping the storage capacity of its Hotmail e-mail service, Microsoft early Thursday announced it was boosting the allowance to 250MB to follow similar moves by rivals such as Google, Yahoo, and Lycos.",Microsoft's Hotmail has raised its storage capacity to 250MB.,1 (entailment),Microsoft announced it was boosting the storage capacity of its Hotmail e-mail service to 250MB.,"Microsoft increased the storage capacity of its Hotmail e-mail service to 250MB, following similar actions by competitors like Google, Yahoo, and Lycos.  

(Explanation: SENTENCE 2 logically follows from SENTENCE 1, as it restates the key information that Microsoft increased Hotmail's storage capacity to 250MB in response to competitors' actions, which is consistent with the entailment label.)",0.18,0.38,0.52,0.79,Yes (near-exact match)
"Although they were born on different planets, Oscar-winning actor Nicolas Cage's new son and Superman have something in common - both were named Kal-el.",Nicolas Cage's son is called Kal-el.,1 (entailment),Nicolas Cage's new son and Superman share the name Kal-el.,"SENTENCE 2: Nicolas Cage's new son and Superman share the name Kal-el, despite being born on different planets.  

(Explanation: The label ""1 (entailment)"" indicates that SENTENCE 2 logically follows from SENTENCE 1, meaning SENTENCE 2 must express the same core idea as SENTENCE 1. The revised SENTENCE 2 maintains the key information about the shared name and the different planets, ensuring logical consistency with SENTENCE 1.)",0.16,0.6,0.5,0.61,Yes (near-exact match)
"Sharon sent dismissal letters to Benny Elon and Avigdor Lieberman, who oppose his withdrawal plan, on Friday.","On Friday, Sharon fired Benny Elon and Avigdor Lieberman.",1 (entailment),Sharon sent dismissal letters to Benny Elon and Avigdor Lieberman on Friday.,"Sharon sent dismissal letters to Benny Elon and Avigdor Lieberman on Friday.  

(Explanation: SENTENCE 2 is entailed by SENTENCE 1 because it directly follows from the information provided in SENTENCE 1, without adding or contradicting any details.)",0.26,0.57,0.53,0.69,Yes (near-exact match)
Britain agreed to lift by March 31 a 150-mile military protection zone enforced around the islands since Argentina invaded them in 1982.,The military protection zone around Falklands was lifted.,1 (entailment),Britain agreed to lift a 150-mile military protection zone around the islands by March 31.,"Britain decided to remove the 150-mile military protection zone around the islands by March 31, which had been in place since Argentina's invasion in 1982.  

(Explanation: The label ""entailment"" means that SENTENCE 2 logically follows from SENTENCE 1. In this case, SENTENCE 2 restates the information in SENTENCE 1 in a slightly different way, confirming the same decision and timeline.)",0.14,0.33,0.4,0.56,No
"On Tuesday, October 7, 2003, Arnold Schwarzenegger was elected Governor of California.",Arnold Schwarzenegger was elected Governor of California.,1 (entailment),"Arnold Schwarzenegger became Governor of California on October 7, 2003.","Arnold Schwarzenegger became the Governor of California on October 7, 2003.  

(Explanation: SENTENCE 2 is entailed by SENTENCE 1 because it logically follows that if Schwarzenegger was elected Governor on that date, he became the Governor on that date.)",0.22,0.59,0.55,0.76,Yes (near-exact match)
"Jacques Santer succeeded Jacques Delors as president of the European Commission in 1995, the second Luxembourger to hold this high office.",Jacques Delors succeeded Jacques Santer in the presidency of the European Commission.,0 (not entailment),"Jacques Santer was the first Luxembourger to hold the office of president of the European Commission.  

This is the exact SENTENCE 2 from the RTE dataset. The label ""0"" indicates that SENTENCE 2 does not entail SENTENCE 1, as the statements are contradictory regarding whether Jacques Santer was the first or second Luxembourger to hold the office.","Jacques Santer was the first Luxembourger to hold the office of president of the European Commission.  

(Explanation: The label ""0"" indicates that SENTENCE 2 does not logically follow from SENTENCE 1. SENTENCE 1 states that Santer was the second Luxembourger to hold the office, so SENTENCE 2 contradicts this by claiming he was the first.)",0.21,0.2,0.51,0.46,No
"The Jurassic Park Institute is an absolutely accurate way for kids to get excited about dinosaur science! Written by two noted paleontologists and illustrated in big bold colors, this kid-friendly nonfiction guide uses easy-to-understand text to describe at least 100 dinosaurs alphabetically.",Michael Crichton is the author of the book Jurassic Park.,0 (not entailment),"The Jurassic Park Institute is not an accurate way for kids to learn about dinosaur science.  

(Note: The exact SENTENCE 2 from the dataset may vary slightly depending on the specific instance, but this is a plausible completion based on the provided context and label.)","SENTENCE 2: However, some critics argue that the book oversimplifies complex scientific concepts and may not provide a comprehensive understanding of dinosaur science for children.  

This sentence contradicts or challenges the positive assertion in SENTENCE 1, which is why the label ""0 (not entailment)"" is appropriate. The two sentences do not logically align or support each other.",0.09,0.11,0.3,0.24,No
"In the year 538, Cyrus set in place a policy which demanded the return of the various gods to their proper places.",Cyrus issued a declaration in 538 that would allow the Jews to go back to their homeland.,0 (not entailment),Cyrus allowed the Jews to return to Jerusalem and rebuild the Temple.,"SENTENCE 2: However, many of the displaced gods were never returned to their original temples, and some were lost forever.  

This sentence contradicts or does not logically follow from SENTENCE 1, aligning with the LABEL 0 (not entailment).",0.11,0.34,0.23,0.52,No
"Macedonia seems confident it can weather the storm, but some fear Athens may soon take things up a notch.",Greece and Macedonia are in dispute over name.,0 (not entailment),"SENTENCE 2:  
Macedonia is confident it can weather the storm, but some fear Athens may soon take things up a notch.  

(Note: The label ""0"" indicates that SENTENCE 2 does not entail SENTENCE 1, meaning the two sentences are not logically equivalent or do not support each other.)","SENTENCE 2: Despite Macedonia's confidence, there is growing concern that Athens might escalate the situation further.  

(Explanation: The label ""0"" indicates that SENTENCE 2 does not entail SENTENCE 1. While SENTENCE 2 reflects the general idea of Macedonia's confidence and Athens' potential escalation, it does not fully capture or confirm the specific details or implications of SENTENCE 1, thus maintaining a non-entailment relationship.)",0.03,0.07,0.48,0.37,No
"Witnesses allegedly hear and see documents being shredded all night long by Jorge Alvarez Aguirre and Rosario Piazza, two ex-Opel men who had followed their leader to VW.","People leaving GM with Lopez included Jose Gutierrez, Jorge Alvarez Aguirre, and Rosario Piazza.",0 (not entailment),"Jorge Alvarez Aguirre and Rosario Piazza are not ex-Opel men.  

(Note: The provided SENTENCE 2 is based on the context of the label ""0"" (not entailment) and the structure of the RTE dataset, but it may not exactly match the original dataset instance. For precise verification, refer to the original RTE dataset.)","SENTENCE 2: However, there is no concrete evidence to confirm that Jorge Alvarez Aguirre and Rosario Piazza were actually involved in shredding documents at VW.

EXPLANATION: The label ""0 (not entailment)"" indicates that SENTENCE 2 does not logically follow from SENTENCE 1. While SENTENCE 1 mentions that witnesses allegedly saw the two individuals shredding documents, SENTENCE 2 introduces doubt by stating that there is no concrete evidence to confirm their involvement. This creates a contradiction rather than a logical continuation, hence the label ""not entailment.""",0.12,0.18,0.47,0.31,No
