summary,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,gpt4_icl_evaluation
Clean-up operations are continuing across the Scottish Borders and Dumfries and Galloway after flooding caused by Storm Frank.,Clean-up operations are continuing across the Scottish Borders and Dumfries,and Dumfries and Galloway after flooding caused by Storm Frank.,and Galloway after Storm Frank caused widespread flooding and damage.,and Galloway following severe flooding caused by heavy rainfall and overflowing rivers.,0.45,0.5,0.72,0.82,No
"An armed man who locked himself into a room at a psychiatric hospital in Istanbul has ended his threat to kill himself, Turkish media report.",An armed man who locked himself into a room at a psychiatric,"hospital in Istanbul has ended his threat to kill himself, Turkish media report.",hospital in Germany has been arrested after a standoff with police.,"hospital was eventually subdued by authorities after a tense standoff, ensuring no injuries were reported.",0.07,0.25,0.57,0.43,No
Lewis Hamilton stormed to pole position at the Bahrain Grand Prix ahead of Mercedes team-mate Nico Rosberg.,Lewis Hamilton stormed to pole position at the Bahrain,Grand Prix ahead of Mercedes team-mate Nico Rosberg.,Grand Prix with a blistering lap in qualifying.,"Grand Prix, securing the top spot with a blistering lap that left his rivals trailing.",0.17,0.24,0.54,0.52,No
"A jogger has been hit by an unmarked police car responding to an emergency call, leaving him with ""serious life-changing injuries"".",A jogger has been hit by an unmarked,"police car responding to an emergency call, leaving him with ""serious life-changing injuries"".",police car in south London.,"police car while running on the sidewalk, resulting in minor injuries and an ongoing investigation.",0.21,0.21,0.59,0.53,No
Newport Gwent Dragons number eight Ed Jackson has undergone shoulder surgery and faces a spell on the sidelines.,Newport Gwent Dragons number eight Ed Jackson,has undergone shoulder surgery and faces a spell on the sidelines.,has been ruled out for the rest of the season with a knee injury.,"suffered a serious spinal injury during a match, leading to a lengthy recovery process and inspiring many with his resilience and determination to walk again.",0.06,0.16,0.53,0.56,No
A 13ft-deep hole causing widespread disruption to trains in south London has been found to have opened above an active sewer.,A 13ft-deep hole causing widespread disruption to,trains in south London has been found to have opened above an active sewer.,traffic in a Devon town has been filled in after being discovered on a busy road.,"traffic and infrastructure repairs in the downtown area.  

**Complete Sentence:**  
A 13ft-deep hole causing widespread disruption to traffic and infrastructure repairs in the downtown area.",0.1,0.2,0.54,0.5,No
The blue badge disabled parking scheme could be extended to people with temporary conditions restricting their mobility.,The blue badge disabled parking scheme could be,extended to people with temporary conditions restricting their mobility.,abolished in England under government plans to tackle abuse of the system.,extended to include additional accessibility features and stricter enforcement to better serve individuals with disabilities.,0.25,0.1,0.67,0.51,No
"A boyfriend of a young soldier who died at Deepcut barracks asked her to end a love triangle at the Surrey base on the day she died, an inquest has heard.",A boyfriend of a young soldier who died at Deepcut,"barracks asked her to end a love triangle at the Surrey base on the day she died, an inquest has heard.",barracks says he believes she was murdered and calls for a public inquiry.,demanded answers and accountability regarding the circumstances of her death.,0.06,0.12,0.4,0.44,No
Celtic player Callum McGregor has been given a 12-month driving ban after he was caught behind the wheel at almost four times the legal alcohol limit.,Celtic player Callum McGregor has been given a 12-month,driving ban after he was caught behind the wheel at almost four times the legal alcohol limit.,ban from driving after being caught speeding on the M8 motorway.,"driving ban after being found guilty of drink-driving.  

**Full Sentence:** Celtic player Callum McGregor has been given a 12-month driving ban after being found guilty of drink-driving.",0.13,0.29,0.8,0.63,No
Three news organisations have asked a US judge to force the government to reveal the amount it paid for technology to unlock an iPhone used by the San Bernardino gunman.,Three news organisations have asked a US judge to force the government,to reveal the amount it paid for technology to unlock an iPhone used by the San Bernardino gunman.,to release documents related to the FBI's investigation into Hillary Clinton's use of a private email server.,to release documents related to the surveillance of journalists under the Foreign Intelligence Surveillance Act (FISA).,0.18,0.16,0.47,0.48,No
